CategoryID,CategoryName,ParentCategoryID,IsActive,DisplayOrder
1,Dehydrated Powder,NULL,1,6
2,Potting Mix & Soil Products,NULL,1,1
3,Grow Bags,NULL,1,3
4,Plant Growth Boosters,NULL,1,2
5,Pest Repellent,NULL,1,4
6,Tools & Accessories,NULL,1,5
7,Summer veggies,13,1,7
8,Monsoon veggies,13,1,8
9,Winter veggies,13,1,9
10,Summer Flowers,13,1,10
11,Winter Flowers,13,1,12
13,Seeds,NULL,1,20
14,Herbs,13,1,13
15,Greens,13,1,14
16,Fruits,13,1,16
17,Exotic veggies,13,1,15
18,Monsoon Flowers,13,1,11
20,Summer Flowers.,21,1,99
21,BIOCARVE Seeds,NULL,1,100
22,Winter Flowers.,21,1,102
23,Monsoon Flowers.,21,1,101
24,Monsoon veggies.,21,1,104
25,Summer veggies.,21,1,103
26,Winter veggies.,21,1,105
